   2 kN - TOP Z30; 3,56208E-5; -1,33185E-4; 9,99829E-1; -2,35077E-7
   5 kN - TOP Z30; -1,29298E-5; -8,35149E-5; 2,49784E+0; -3,74843E-6
  10 kN - TOP Z30; -4,46342E-7; -1,09034E-4; 4,99681E+0; 4,70578E-6
 200 kN - TOP Z4A; -1,40331E-2; 3,74763E-2; 9,99705E+1; 1,53078E-3
 500 kN - TOP Z4A; -1,32055E-4; -1,72814E-2; 2,50218E+2; -8,76784E-5
1000 kN - C3H3; 1,27916E-1; -4,54049E-1; 4,90575E+2; 5,33490E-3
 200 kN - TOP Z4A (h/100); 4,12234E-3; 2,57451E-3; 9,99775E+1; 2,56326E-4
 500 kN - TOP Z4A (h/200); 2,50847E-2; -4,60456E-2; 2,50211E+2; -2,81585E-5
1000 kN - C3H3 (h/500); 2,56411E-1; -6,69213E-1; 4,90643E+2; -1,96085E-3
 200 kN - C3H3 (obsoleto); 6,42695E-3; -3,19983E-2; 9,80810E+1; -4,66344E-5
 500 kN - C3H3 (obsoleto); 8,76598E-2; -2,87765E-1; 2,44713E+2; 0,00000E+0
 200 kN - C3H3 (h/20); -5,44278E-01; 1,13397E-01; 9,80966E+01; 3,26093E-05
 200 kN - C3H3 (h/50); 6,06277E-02; -8,73286E-02; 9,81138E+01; -1,62478E-04
 200 kN - C3H3 (h/100); 1,52355E-02; -4,13408E-02; 9,81018E+01; 2,97013E-04
